SQ_CANDIDATO;NM_CANDIDATO;NM_UE_x;DS_CARGO;SG_PARTIDO;DS_TIPO_BEM_CANDIDATO;DS_BEM_CANDIDATO;VR_BEM_CANDIDATO
250001931869;EDVIRGES APARECIDA DE CARVALHO MALLIO;BOITUVA;VEREADOR;PP;Depósito bancário em conta corrente no País;conta corrente;71,00
250001931869;EDVIRGES APARECIDA DE CARVALHO MALLIO;BOITUVA;VEREADOR;PP;Aplicação de renda fixa (CDB, RDB e outros);aplicação;841,00
250001931575;JOSÃµ ADALBERTO DA SILVA;BOITUVA;VEREADOR;CIDADANIA;OUTROS BENS E DIREITOS;capital da empresa academia;15000,00
250001931575;JOSÃµ ADALBERTO DA SILVA;BOITUVA;VEREADOR;CIDADANIA;OUTROS BENS E DIREITOS;conta corrente;15700,00
250001931575;JOSÃµ ADALBERTO DA SILVA;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;moto;30000,00
250001931700;PAULO SERGIO SANTOS DA SILVA;BOITUVA;VEREADOR;PODE;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Moto ;8000,00
250001931700;PAULO SERGIO SANTOS DA SILVA;BOITUVA;VEREADOR;PODE;Casa;uma casa na cidade de Boituva ;360000,00
250001931765;KATIA CRISTINA CHAGAS VASTA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;5% DE COTA DE CAPITAL SOCIAL ;5000,00
250001931765;KATIA CRISTINA CHAGAS VASTA;BOITUVA;VEREADOR;PSD;OUTROS BENS E DIREITOS;EMPRÉSTIMO  PESSOAL ;3326,80
250001931580;NELSON MACIEL DE GOES;BOITUVA;VEREADOR;CIDADANIA;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;carro;78141,72
250001931580;NELSON MACIEL DE GOES;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo em conta;2950,08
250001931580;NELSON MACIEL DE GOES;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;saldo em conta;7,52
250001931580;NELSON MACIEL DE GOES;BOITUVA;VEREADOR;CIDADANIA;Depósito bancário em conta corrente no País;numerario;12500,00
250001931576;IRAN FRANCISCO BISPO;BOITUVA;VEREADOR;CIDADANIA;Apartamento;CONDOMINIO RECANTO DOS PASSAROS;39000,00
250002139313;ERIK SCAGLIONE;BOITUVA;VEREADOR;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Automovel Onix 2013/2014;36723,00
250002139318;CLAUDIO ALBERTO FERNANDES;BOITUVA;VEREADOR;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Veiculo Renault Logan 2011;25000,00
250002139318;CLAUDIO ALBERTO FERNANDES;BOITUVA;VEREADOR;MDB;Outras aplicações e Investimentos;Ativos financeiros;240000,00
250002139318;CLAUDIO ALBERTO FERNANDES;BOITUVA;VEREADOR;MDB;Casa;Imovel Residencial;1200000,00
250002140567;CLAUDIA ROGERIO DE SOUZA;BOITUVA;VICE-PREFEITO;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;1 Carro Palio Weekend ELX;10000,00
250002130384;PRISCILA DE PAULA;BOITUVA;VEREADOR;PL;Depósito bancário em conta corrente no País;Conta RecargaPay ;7487,00
250002139310;ANDREO ASSIS BINI DOS SANTOS;BOITUVA;VEREADOR;MDB;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Carro Chevrolet Agile;30000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Jeep Compass 2022;180000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Chevrolet Onix 2020;80000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Chevrolet Opala 1989;70000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Veículo automotor terrestre: caminhão, automóvel, moto, etc.;Volkswagen Saveiro 1996;60000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Galpão;Avenida Professora Célia Lourdes Vercellino, n 1815 - Boituva/SP;1200000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Galpão;Avenida Professora Célia Lourdes Vercellino, n 1845 - Boituva/SP;1000000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Depósito bancário em conta corrente no País;Saldo em conta - Banco Itaú;20000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Terreno;Rua Bruno Maria de Fátima Becca, QD 09 LT 04 - Boituva/SP;210000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Terreno;Rua Bruno Maria de Fátima Becca, QD 09 LT 03 - Boituva/SP;220000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Casa;Imóvel no Residencial Portal do Lagos - Boituva/SP;2000000,00
250002130379;ALEXANDRE CARVALHO REGGIANI;BOITUVA;VEREADOR;PL;Casa;Imóvel na Rua Dorélio Lopes Cardoso - Boituva/SP;450000,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Crédito decorrente de empréstimo;Empréstimo para pessoa física;55000,00
250002130051;SERGIO ROBERTO DE LIMA E SILVA FILHO;BOITUVA;VICE-PREFEITO;PL;Ações (inclusive as provenientes de linha telefônica);Ações Itaú;22977,00
